+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 20260909 | Processed entries: 485                        |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
|     23,444,473,856 | TPR      | Tapestry Inc.                  |
|     23,341,021,184 | TROW     | T. Rowe Price                  |
|     23,289,577,472 | VLTO     | Veralto                        |
|     23,273,662,464 | DLTR     | Dollar Tree                    |
|     23,252,731,904 | KEY      | KeyCorp                        |
|     23,215,382,528 | SW       | Smurfit WestRock               |
|     22,917,933,056 | FSLR     | First Solar                    |
|     22,899,664,896 | CHD      | Church & Dwight                |
|     22,871,695,360 | PHM      | PulteGroup                     |
|     22,841,079,808 | VRSK     | Verisk Analytics               |
|     22,831,013,888 | EIX      | Edison International           |
|     22,813,734,912 | BRO      | Brown & Brown                  |
|     22,257,686,528 | OMC      | Omnicom Group                  |
|     22,129,299,456 | L        | Loews Corporation              |
|     22,063,083,520 | FFIV     | F5 Inc.                        |
|     21,845,940,224 | IFF      | International Flavors & Fra... |
|     21,570,971,648 | CMS      | CMS Energy                     |
|     21,359,616,000 | DOW      | Dow Inc.                       |
|     21,297,924,096 | STE      | Steris                         |
|     20,865,019,904 | LYB      | LyondellBasell                 |
|     20,688,742,400 | RL       | Ralph Lauren Corporation       |
|     20,669,915,136 | PKG      | Packaging Corporation of Am... |
|     20,663,910,400 | STZ      | Constellation Brands           |
|     20,500,408,320 | AMCR     | Amcor                          |
|     20,329,250,816 | CF       | CF Industries                  |
|     20,329,125,888 | FIS      | Fidelity National Informati... |
|     20,162,756,608 | EFX      | Equifax                        |
|     20,157,073,408 | FICO     | Fair Isaac                     |
|     20,150,183,936 | GIS      | General Mills                  |
|     20,093,569,024 | NI       | NiSource                       |
|     20,017,766,400 | SBAC     | SBA Communications             |
|     19,650,099,200 | SNA      | Snap-on                        |
|     19,642,472,448 | CHTR     | Charter Communications         |
|     19,360,743,424 | LEN      | Lennar                         |
|     19,324,006,400 | IP       | International Paper            |
|     19,226,355,712 | BR       | Broadridge Financial Solutions |
|     19,122,673,664 | ESS      | Essex Property Trust           |
|     19,078,094,848 | VTRS     | Viatris                        |
|     18,961,844,224 | EVRG     | Evergy                         |
|     18,917,679,104 | LUV      | Southwest Airlines             |
|     18,734,974,976 | BBY      | Best Buy                       |
|     18,481,479,680 | GPC      | Genuine Parts Company          |
|     18,392,182,784 | TSN      | Tyson Foods                    |
|     18,387,507,200 | TSCO     | Tractor Supply                 |
|     18,062,516,224 | CDW      | CDW                            |
|     17,971,306,496 | ZBH      | Zimmer Biomet                  |
|     17,890,977,792 | NWS      | News Corp (Class B)            |
|     17,843,877,888 | GEN      | Gen Digital                    |
|     17,789,523,968 | LNT      | Alliant Energy                 |
|     17,733,844,992 | DD       | DuPont                         |
|     17,645,559,808 | NDSN     | Nordson Corporation            |
|     17,604,866,048 | BEN      | Franklin Resources             |
|     17,539,375,104 | CHRW     | C.H. Robinson                  |
|     17,066,983,424 | FTV      | Fortive                        |
|     16,885,160,960 | J        | Jacobs Solutions               |
|     16,816,032,768 | ROL      | Rollins Inc.                   |
|     16,763,864,064 | INVH     | Invitation Homes               |
|     16,678,900,736 | ZBRA     | Zebra Technologies             |
|     16,635,631,616 | IEX      | IDEX Corporation               |
|     16,381,886,464 | NVR      | NVR Inc.                       |
|     16,353,500,160 | WY       | Weyerhaeuser                   |
|     16,218,613,760 | LDOS     | Leidos                         |
|     16,152,199,168 | BALL     | Ball Corporation               |
|     16,002,067,456 | NWSA     | News Corp (Class A)            |
|     15,937,955,840 | KIM      | Kimco Realty                   |
|     15,338,860,544 | SOLV     | Solventum                      |
|     15,332,613,120 | HST      | Host Hotels & Resorts          |
|     15,289,916,416 | ALB      | Albemarle Corporation          |
|     15,257,808,896 | APA      | APA Corporation                |
|     15,214,279,680 | MAA      | Mid-America Apartment Commu... |
|     15,177,911,296 | AKAM     | Akamai Technologies            |
|     14,540,508,160 | DOC      | Healthpeak Properties          |
|     14,459,002,880 | PTC      | PTC Inc.                       |
|     14,278,103,040 | IVZ      | Invesco                        |
|     14,244,019,200 | TYL      | Tyler Technologies             |
|     14,195,776,512 | REG      | Regency Centers                |
|     14,180,400,128 | RVTY     | Revvity                        |
|     14,180,293,632 | EG       | Everest Group                  |
|     14,166,871,040 | SWK      | Stanley Black & Decker         |
|     13,986,503,680 | MAS      | Masco                          |
|     13,953,395,712 | MKC      | McCormick & Company            |
|     13,860,472,832 | AIZ      | Assurant                       |
|     13,706,310,656 | TRMB     | Trimble Inc.                   |
|     13,679,839,232 | TXT      | Textron                        |
|     13,523,571,712 | CRL      | Charles River Laboratories     |
|     13,494,932,480 | BWA      | BorgWarner                     |
|     13,316,578,304 | SJM      | J.M. Smucker Company (The)     |
|     13,269,990,400 | ALLE     | Allegion                       |
|     13,265,522,688 | UDR      | UDR Inc.                       |
|     13,201,623,040 | COO      | Cooper Companies (The)         |
|     13,116,662,784 | GL       | Globe Life                     |
|     12,937,035,776 | AVY      | Avery Dennison                 |
|     12,852,520,960 | BAX      | Baxter International           |
|     12,737,725,440 | HAS      | Hasbro                         |
|     12,724,740,096 | ERIE     | Erie Indemnity                 |
|     12,293,695,488 | CSGP     | CoStar Group                   |
|     12,118,358,016 | CPT      | Camden Property Trust          |
|     11,890,881,536 | BXP      | BXP Inc.                       |
|     11,882,176,512 | PNW      | Pinnacle West                  |
|     11,763,038,208 | GDDY     | GoDaddy                        |
|     11,672,939,520 | HRL      | Hormel Foods                   |
|     11,487,827,968 | DVA      | DaVita                         |
|     11,424,167,936 | LULU     | Lululemon Athletica            |
|     11,342,638,080 | SWKS     | Skyworks Solutions             |
|     11,339,526,144 | TECH     | Bio-Techne                     |
|     11,335,522,304 | HII      | Huntington Ingalls Industries  |
|     11,248,621,568 | DECK     | Deckers Brands                 |
|     11,223,600,128 | GNRC     | Generac                        |
|     11,206,097,920 | JKHY     | Jack Henry & Associates        |
|     11,095,945,216 | DPZ      | Domino's                       |
|     11,077,279,744 | CLX      | Clorox                         |
|     10,903,908,352 | ALGN     | Align Technology               |
|     10,898,881,536 | IT       | Gartner                        |
|     10,580,295,680 | AES      | AES Corporation                |
|     10,423,379,968 | MGM      | MGM Resorts                    |
|     10,278,441,984 | FDS      | FactSet                        |
|     10,249,799,680 | FRT      | Federal Realty Investment T... |
|     10,246,859,776 | MOH      | Molina Healthcare              |
|     10,130,597,888 | UHS      | Universal Health Services      |
|      9,903,139,840 | HSIC     | Henry Schein                   |
|      9,877,896,192 | PAYC     | Paycom                         |
