+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 11/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
| TSLA     | Tesla Inc.             |   363.56 |   498.83 |   27.12% |
| HSY      | Hershey Company (The)  |   174.34 |   239.48 |   27.20% |
| RCL      | Royal Caribbean Group  |   259.01 |   356.39 |   27.32% |
| TMUS     | T-Mobile US            |   177.16 |   244.24 |   27.46% |
| CHRW     | C.H. Robinson          |   152.42 |   210.33 |   27.53% |
| IR       | Ingersoll Rand         |    73.09 |   100.96 |   27.60% |
| CAG      | Conagra Brands         |    14.70 |    20.32 |   27.66% |
| OTIS     | Otis Worldwide         |    67.89 |    94.56 |   28.21% |
| ODFL     | Old Dominion           |   180.55 |   252.03 |   28.36% |
| HD       | Home Depot (The)       |   305.69 |   426.75 |   28.37% |
| GEHC     | GE HealthCare          |    64.24 |    89.77 |   28.44% |
| NVR      | NVR Inc.               |  6088.28 |  8544.39 |   28.75% |
| UBER     | Uber                   |    72.56 |   101.99 |   28.86% |
| FDS      | FactSet                |   262.93 |   370.98 |   29.13% |
| MLM      | Martin Marietta Mat... |   502.47 |   710.97 |   29.33% |
| JBL      | Jabil                  |   302.80 |   428.93 |   29.41% |
| MKC      | McCormick & Company    |    51.10 |    72.41 |   29.43% |
| LW       | Lamb Weston            |    47.32 |    67.07 |   29.45% |
| INTC     | Intel                  |   100.32 |   142.35 |   29.53% |
| IBM      | IBM                    |   234.02 |   332.46 |   29.61% |
| ERIE     | Erie Indemnity         |   240.40 |   341.71 |   29.65% |
| TPR      | Tapestry Inc.          |   115.87 |   164.80 |   29.69% |
| LUV      | Southwest Airlines     |    38.69 |    55.11 |   29.79% |
| TAP      | Molson Coors Bevera... |    38.44 |    54.82 |   29.88% |
| UHS      | Universal Health Se... |   172.72 |   246.33 |   29.88% |
| GIS      | General Mills          |    35.96 |    51.33 |   29.94% |
| EIX      | Edison International   |    56.75 |    81.62 |   30.47% |
