+=================================================================================================+
| HIGHEST LOSERS (52-WEEK METRIC)                                                                 |
| Date: 20260908 | Processed entries: 486                                                         |
+=================================================================================================+

+----------+------------------------------------------+--------------+--------------+--------------+--------------+
| Symbol   | Name                                     | Price        | 52W Low      | 52W High     | Distance     |
| STLD     | Steel Dynamics                           |       242.06 |       129.41 |       288.74 |       16.17% |
| PLTR     | Palantir Technologies                    |       174.33 |       106.37 |       207.52 |       15.99% |
| PEG      | Public Service Enterprise Group          |        73.70 |        72.53 |        87.63 |       15.90% |
| NI       | NiSource                                 |        41.39 |        39.30 |        49.21 |       15.89% |
| AXP      | American Express                         |       326.16 |       290.97 |       387.49 |       15.83% |
| DG       | Dollar General                           |       133.21 |        95.11 |       158.23 |       15.81% |
| PPG      | PPG Industries                           |       112.53 |        93.39 |       133.43 |       15.66% |
| SBAC     | SBA Communications                       |       189.44 |       162.41 |       224.46 |       15.60% |
| NEE      | NextEra Energy                           |        83.43 |        69.37 |        98.75 |       15.51% |
| AON      | Aon                                      |       323.09 |       304.59 |       382.34 |       15.50% |
| COF      | Capital One                              |       219.60 |       174.24 |       259.64 |       15.42% |
| CBRE     | CBRE Group                               |       147.85 |       121.69 |       174.27 |       15.16% |
| SPGI     | S&P Global                               |       443.51 |       361.03 |       522.47 |       15.11% |
| HAL      | Halliburton                              |        37.07 |        21.46 |        43.59 |       14.96% |
| CMS      | CMS Energy                               |        68.46 |        67.19 |        80.36 |       14.81% |
| EMN      | Eastman Chemical Company                 |        71.19 |        56.11 |        83.47 |       14.71% |
| BXP      | BXP Inc.                                 |        67.69 |        49.72 |        79.33 |       14.67% |
| EL       | Estée Lauder Companies (The)             |       103.86 |        66.22 |       121.64 |       14.62% |
| CME      | CME Group                                |       281.29 |       218.31 |       329.16 |       14.54% |
| DHR      | Danaher Corporation                      |       207.66 |       160.93 |       242.80 |       14.47% |
| FOXA     | Fox Corporation (Class A)                |        65.42 |        48.34 |        76.39 |       14.36% |
| URI      | United Rentals                           |      1009.86 |       701.59 |      1179.18 |       14.36% |
| JKHY     | Jack Henry & Associates                  |       165.64 |       121.04 |       193.39 |       14.35% |
| BWA      | BorgWarner                               |        67.54 |        40.50 |        78.82 |       14.31% |
| FOX      | Fox Corporation (Class B)                |        58.42 |        44.08 |        68.17 |       14.31% |
| BKNG     | Booking Holdings                         |       193.29 |       150.14 |       225.54 |       14.30% |
| HST      | Host Hotels & Resorts                    |        22.05 |        15.61 |        25.71 |       14.24% |
